ScribbleId,AveraDiceScore
girafe_d_30_n_250_k_0,0.986592
girafe_d_20_n_50_k_9,0.949043
girafe_d_40_n_250_k_8,0.96624
girafe_d_30_n_500_k_7,0.979456
girafe_d_20_n_1500_k_5,0.972105
girafe_d_30_n_500_k_3,0.984637
girafe_d_40_n_100_k_3,0.908061
girafe_d_40_n_5000_k_8,0.921531
girafe_d_40_n_500_k_7,0.918418
girafe_d_20_n_5000_k_2,0.975036
girafe_d_40_n_250_k_3,0.91393
girafe_d_50_n_2000_k_9,0.951086
girafe_d_40_n_5000_k_1,0.921718
girafe_d_40_n_2000_k_2,0.921959
girafe_d_20_n_1000_k_2,0.97497
girafe_d_40_n_5000_k_0,0.921469
girafe_d_20_n_250_k_9,0.972519
girafe_d_50_n_3000_k_2,0.949731
girafe_d_40_n_2000_k_8,0.916863
girafe_d_30_n_2000_k_8,0.984387
girafe_d_50_n_1000_k_9,0.953029
girafe_d_40_n_1000_k_6,0.918674
girafe_d_50_n_5000_k_6,0.949825
girafe_d_20_n_4000_k_8,0.97501
girafe_d_40_n_4000_k_9,0.921763
girafe_d_30_n_250_k_3,0.984371
girafe_d_50_n_4000_k_1,0.949696
girafe_d_30_n_5000_k_8,0.984407
girafe_d_50_n_500_k_7,0.953171
girafe_d_50_n_2000_k_3,0.948811
girafe_d_30_n_1000_k_1,0.984444
girafe_d_40_n_500_k_9,0.920924
girafe_d_40_n_2000_k_7,0.920346
girafe_d_20_n_500_k_2,0.974731
girafe_d_50_n_1000_k_3,0.951076
girafe_d_40_n_4000_k_3,0.921435
girafe_d_30_n_50_k_3,0.963765
girafe_d_50_n_3000_k_7,0.950591
girafe_d_30_n_4000_k_6,0.98444
girafe_d_30_n_50_k_2,0.96938
girafe_d_20_n_2000_k_1,0.973705
girafe_d_30_n_1000_k_9,0.984234
girafe_d_30_n_5000_k_9,0.984374
girafe_d_20_n_1500_k_7,0.975508
girafe_d_50_n_1500_k_3,0.949692
girafe_d_20_n_100_k_7,0.972735
girafe_d_40_n_50_k_3,0.906725
girafe_d_20_n_250_k_4,0.978063
girafe_d_30_n_500_k_5,0.983566
girafe_d_50_n_3000_k_0,0.949785
girafe_d_40_n_500_k_2,0.917261
girafe_d_50_n_500_k_6,0.951629
girafe_d_20_n_1500_k_8,0.972873
girafe_d_40_n_50_k_7,0.897447
girafe_d_20_n_5000_k_7,0.97514
girafe_d_50_n_100_k_4,0.917958
girafe_d_30_n_1000_k_2,0.984085
girafe_d_20_n_3000_k_7,0.975009
girafe_d_30_n_100_k_7,0.977637
girafe_d_30_n_5000_k_7,0.984321
girafe_d_40_n_50_k_4,0.946861
girafe_d_50_n_1500_k_7,0.950661
girafe_d_50_n_100_k_5,0.921307
girafe_d_50_n_50_k_7,0.941412
girafe_d_50_n_100_k_0,0.92857
girafe_d_50_n_250_k_3,0.952886
girafe_d_40_n_500_k_3,0.915869
girafe_d_30_n_500_k_1,0.982927
girafe_d_40_n_100_k_2,0.922994
girafe_d_40_n_250_k_9,0.91945
girafe_d_20_n_500_k_7,0.971513
girafe_d_50_n_1500_k_6,0.949265
girafe_d_50_n_3000_k_5,0.949514
girafe_d_40_n_1500_k_8,0.919542
girafe_d_40_n_250_k_1,0.914572
girafe_d_40_n_250_k_6,0.917169
girafe_d_40_n_500_k_5,0.91339
girafe_d_30_n_100_k_0,0.975361
girafe_d_40_n_100_k_7,0.916099
girafe_d_30_n_2000_k_4,0.984519
girafe_d_20_n_3000_k_0,0.974638
girafe_d_30_n_50_k_8,0.96784
girafe_d_30_n_500_k_4,0.981805
girafe_d_30_n_2000_k_3,0.983723
girafe_d_30_n_500_k_8,0.977557
girafe_d_30_n_4000_k_9,0.983392
girafe_d_30_n_2000_k_5,0.984617
girafe_d_20_n_100_k_3,0.974184
girafe_d_20_n_1500_k_1,0.975466
girafe_d_20_n_1000_k_8,0.975012
girafe_d_20_n_50_k_5,0.967245
girafe_d_40_n_2000_k_6,0.921535
girafe_d_40_n_5000_k_2,0.92144
girafe_d_40_n_100_k_5,0.933977
girafe_d_50_n_100_k_1,0.924693
girafe_d_30_n_50_k_7,0.972069
girafe_d_20_n_5000_k_6,0.975252
girafe_d_50_n_500_k_2,0.953335
girafe_d_20_n_500_k_0,0.972032
girafe_d_20_n_1500_k_0,0.974865
girafe_d_30_n_250_k_8,0.983494
girafe_d_20_n_4000_k_0,0.975252
girafe_d_50_n_2000_k_8,0.951106
girafe_d_50_n_5000_k_1,0.949839
girafe_d_50_n_4000_k_4,0.949812
girafe_d_40_n_50_k_1,0.911975
girafe_d_50_n_500_k_5,0.94994
girafe_d_20_n_3000_k_3,0.97482
girafe_d_40_n_250_k_7,0.911132
girafe_d_20_n_2000_k_9,0.975337
girafe_d_30_n_100_k_6,0.956066
girafe_d_30_n_5000_k_2,0.984178
girafe_d_30_n_3000_k_1,0.983882
girafe_d_40_n_2000_k_5,0.919182
girafe_d_20_n_100_k_5,0.980782
girafe_d_20_n_250_k_5,0.973867
girafe_d_50_n_1500_k_4,0.951461
girafe_d_50_n_500_k_8,0.951913
girafe_d_30_n_50_k_6,0.942324
girafe_d_40_n_2000_k_1,0.922478
girafe_d_20_n_100_k_6,0.969918
girafe_d_40_n_500_k_8,0.919622
girafe_d_30_n_100_k_8,0.972797
girafe_d_50_n_100_k_7,0.962285
girafe_d_30_n_1500_k_5,0.984616
girafe_d_50_n_4000_k_2,0.949832
girafe_d_40_n_2000_k_9,0.922379
girafe_d_40_n_500_k_0,0.912602
girafe_d_30_n_250_k_7,0.973981
girafe_d_30_n_1500_k_0,0.984317
girafe_d_20_n_3000_k_9,0.974996
girafe_d_50_n_4000_k_6,0.949189
girafe_d_30_n_4000_k_5,0.984368
girafe_d_20_n_50_k_7,0.978919
girafe_d_30_n_2000_k_7,0.983848
girafe_d_30_n_4000_k_2,0.98426
girafe_d_40_n_1000_k_3,0.916281
girafe_d_30_n_250_k_2,0.980826
girafe_d_40_n_250_k_0,0.91885
girafe_d_20_n_5000_k_4,0.974977
girafe_d_20_n_250_k_7,0.967145
girafe_d_30_n_50_k_4,0.961099
girafe_d_20_n_250_k_1,0.974888
girafe_d_50_n_2000_k_6,0.951744
girafe_d_20_n_500_k_9,0.970015
girafe_d_40_n_4000_k_2,0.921619
girafe_d_30_n_100_k_5,0.969549
girafe_d_30_n_100_k_3,0.968498
girafe_d_20_n_1000_k_1,0.972987
girafe_d_20_n_4000_k_3,0.974977
girafe_d_20_n_3000_k_4,0.975224
girafe_d_40_n_100_k_4,0.90861
girafe_d_30_n_4000_k_3,0.98442
girafe_d_20_n_500_k_4,0.975611
girafe_d_30_n_250_k_6,0.983347
girafe_d_30_n_3000_k_2,0.984374
girafe_d_30_n_1000_k_7,0.982648
girafe_d_30_n_100_k_1,0.971773
girafe_d_20_n_500_k_6,0.972368
girafe_d_20_n_2000_k_4,0.974985
girafe_d_50_n_1000_k_6,0.949933
girafe_d_40_n_5000_k_5,0.921627
girafe_d_40_n_100_k_6,0.898597
girafe_d_50_n_500_k_3,0.964494
girafe_d_30_n_3000_k_9,0.98442
girafe_d_40_n_4000_k_5,0.920854
girafe_d_50_n_50_k_1,0.939986
girafe_d_40_n_500_k_1,0.918056
girafe_d_50_n_50_k_9,0.971619
girafe_d_40_n_1500_k_6,0.928334
girafe_d_40_n_3000_k_0,0.921011
girafe_d_50_n_1000_k_1,0.950023
girafe_d_20_n_500_k_3,0.97201
girafe_d_50_n_50_k_4,0.965866
girafe_d_20_n_1000_k_9,0.974723
girafe_d_20_n_4000_k_5,0.974971
girafe_d_50_n_1000_k_0,0.949829
girafe_d_50_n_3000_k_6,0.949617
girafe_d_40_n_100_k_1,0.956552
girafe_d_30_n_5000_k_5,0.984427
girafe_d_30_n_3000_k_3,0.984499
girafe_d_50_n_250_k_1,0.947208
girafe_d_30_n_3000_k_0,0.984354
girafe_d_20_n_1500_k_4,0.975479
girafe_d_50_n_3000_k_3,0.949744
girafe_d_20_n_2000_k_2,0.974528
girafe_d_50_n_1500_k_0,0.949711
girafe_d_30_n_5000_k_6,0.984387
girafe_d_50_n_500_k_4,0.949653
girafe_d_40_n_1500_k_3,0.922456
girafe_d_20_n_100_k_4,0.962901
girafe_d_40_n_1500_k_0,0.924251
girafe_d_50_n_250_k_6,0.954945
girafe_d_30_n_1500_k_3,0.983686
girafe_d_20_n_50_k_4,0.947894
girafe_d_40_n_1000_k_8,0.919505
girafe_d_50_n_1500_k_5,0.949624
girafe_d_20_n_2000_k_7,0.975356
girafe_d_50_n_3000_k_1,0.949697
girafe_d_50_n_250_k_4,0.943695
girafe_d_40_n_500_k_4,0.913699
girafe_d_50_n_250_k_5,0.948267
girafe_d_30_n_4000_k_8,0.984485
girafe_d_50_n_5000_k_2,0.949826
girafe_d_30_n_3000_k_5,0.984702
girafe_d_50_n_500_k_0,0.951146
girafe_d_40_n_50_k_6,0.970916
girafe_d_40_n_250_k_5,0.915524
girafe_d_20_n_100_k_9,0.978415
girafe_d_30_n_2000_k_2,0.984002
girafe_d_30_n_3000_k_4,0.984439
girafe_d_30_n_1000_k_0,0.982679
girafe_d_20_n_2000_k_3,0.975141
girafe_d_30_n_1000_k_4,0.981994
girafe_d_20_n_5000_k_0,0.974886
girafe_d_50_n_50_k_3,0.915879
girafe_d_30_n_250_k_9,0.972996
girafe_d_30_n_1000_k_5,0.983488
girafe_d_40_n_100_k_0,0.911524
girafe_d_50_n_5000_k_3,0.949893
girafe_d_20_n_1500_k_6,0.976837
girafe_d_20_n_500_k_5,0.973642
girafe_d_50_n_2000_k_1,0.950016
girafe_d_40_n_3000_k_2,0.921558
girafe_d_30_n_5000_k_4,0.9844
girafe_d_50_n_1500_k_8,0.949977
girafe_d_20_n_50_k_1,0.974761
girafe_d_20_n_500_k_8,0.972525
girafe_d_20_n_4000_k_6,0.974586
girafe_d_20_n_5000_k_1,0.974997
girafe_d_20_n_50_k_3,0.981141
girafe_d_50_n_1500_k_1,0.950355
girafe_d_50_n_500_k_9,0.954594
girafe_d_40_n_1500_k_4,0.920527
girafe_d_40_n_1500_k_1,0.922306
girafe_d_20_n_4000_k_4,0.97501
girafe_d_30_n_4000_k_4,0.984401
girafe_d_50_n_50_k_6,0.945495
girafe_d_20_n_3000_k_5,0.975322
girafe_d_50_n_1500_k_2,0.950266
girafe_d_20_n_50_k_2,0.963498
girafe_d_50_n_50_k_5,0.899089
girafe_d_20_n_100_k_2,0.962374
girafe_d_50_n_250_k_2,0.949149
girafe_d_40_n_4000_k_1,0.922641
girafe_d_40_n_1500_k_9,0.92217
girafe_d_20_n_3000_k_1,0.972769
girafe_d_20_n_250_k_6,0.975198
girafe_d_50_n_100_k_3,0.96263
girafe_d_40_n_4000_k_6,0.921234
girafe_d_20_n_3000_k_8,0.974403
girafe_d_30_n_1500_k_2,0.984472
girafe_d_50_n_2000_k_0,0.95005
girafe_d_30_n_250_k_1,0.979362
girafe_d_50_n_100_k_9,0.927481
girafe_d_40_n_5000_k_4,0.920835
girafe_d_30_n_250_k_5,0.985436
girafe_d_50_n_3000_k_9,0.949696
girafe_d_20_n_1500_k_9,0.97535
girafe_d_20_n_1000_k_7,0.975268
girafe_d_50_n_250_k_9,0.952973
girafe_d_20_n_50_k_6,0.952562
girafe_d_40_n_3000_k_8,0.923313
girafe_d_40_n_3000_k_7,0.923295
girafe_d_50_n_250_k_0,0.957013
girafe_d_40_n_2000_k_4,0.922164
girafe_d_50_n_4000_k_0,0.949792
girafe_d_20_n_100_k_0,0.973094
girafe_d_20_n_250_k_3,0.969664
girafe_d_50_n_1000_k_7,0.949261
girafe_d_50_n_1000_k_8,0.951032
girafe_d_20_n_1500_k_2,0.975833
girafe_d_20_n_1000_k_4,0.974254
girafe_d_40_n_5000_k_3,0.921779
girafe_d_20_n_2000_k_8,0.972891
girafe_d_40_n_3000_k_6,0.92268
girafe_d_30_n_4000_k_7,0.984341
girafe_d_30_n_250_k_4,0.980155
girafe_d_20_n_2000_k_0,0.975079
girafe_d_40_n_5000_k_6,0.921517
girafe_d_20_n_50_k_0,0.969963
girafe_d_30_n_1500_k_4,0.984696
girafe_d_20_n_4000_k_9,0.975082
girafe_d_30_n_1500_k_8,0.984237
girafe_d_30_n_3000_k_8,0.984321
girafe_d_20_n_500_k_1,0.975794
girafe_d_30_n_1000_k_3,0.983887
girafe_d_20_n_3000_k_6,0.975022
girafe_d_30_n_50_k_1,0.972968
girafe_d_30_n_1000_k_8,0.984062
girafe_d_20_n_1000_k_5,0.974744
girafe_d_40_n_4000_k_4,0.920551
girafe_d_40_n_3000_k_4,0.921554
girafe_d_50_n_4000_k_8,0.949778
girafe_d_20_n_250_k_8,0.972662
girafe_d_40_n_100_k_8,0.907513
girafe_d_30_n_1000_k_6,0.984669
girafe_d_40_n_250_k_4,0.911779
girafe_d_20_n_4000_k_2,0.974912
girafe_d_30_n_5000_k_3,0.984427
girafe_d_30_n_4000_k_0,0.984276
girafe_d_50_n_100_k_6,0.924822
girafe_d_30_n_100_k_9,0.98141
girafe_d_20_n_2000_k_6,0.975361
girafe_d_50_n_100_k_2,0.940291
girafe_d_20_n_100_k_8,0.964497
girafe_d_30_n_1500_k_6,0.984059
girafe_d_40_n_1000_k_7,0.925331
girafe_d_50_n_1500_k_9,0.951696
girafe_d_40_n_4000_k_0,0.921165
girafe_d_50_n_5000_k_5,0.949825
girafe_d_30_n_1500_k_9,0.984796
girafe_d_30_n_1500_k_7,0.984584
girafe_d_40_n_50_k_5,0.91388
girafe_d_20_n_3000_k_2,0.972338
girafe_d_20_n_1000_k_0,0.97082
girafe_d_20_n_1500_k_3,0.971973
girafe_d_30_n_2000_k_6,0.984655
girafe_d_40_n_50_k_8,0.90669
girafe_d_50_n_250_k_7,0.95219
girafe_d_50_n_5000_k_8,0.949825
girafe_d_30_n_4000_k_1,0.984565
girafe_d_20_n_2000_k_5,0.975291
girafe_d_50_n_4000_k_7,0.949798
girafe_d_50_n_50_k_0,0.973567
girafe_d_20_n_4000_k_1,0.97501
girafe_d_30_n_500_k_9,0.979961
girafe_d_40_n_1000_k_0,0.925076
girafe_d_20_n_5000_k_3,0.975108
girafe_d_50_n_2000_k_5,0.950206
girafe_d_30_n_100_k_4,0.969498
girafe_d_20_n_5000_k_5,0.974814
girafe_d_40_n_5000_k_9,0.923437
girafe_d_40_n_3000_k_3,0.923293
girafe_d_30_n_50_k_5,0.965761
girafe_d_30_n_50_k_9,0.967081
girafe_d_40_n_1500_k_7,0.915935
girafe_d_50_n_100_k_8,0.974885
girafe_d_40_n_250_k_2,0.920611
girafe_d_40_n_1000_k_4,0.919626
girafe_d_40_n_50_k_9,0.917997
girafe_d_40_n_3000_k_9,0.920924
girafe_d_30_n_2000_k_1,0.984252
girafe_d_50_n_500_k_1,0.95614
girafe_d_50_n_5000_k_4,0.949832
girafe_d_40_n_2000_k_0,0.920987
girafe_d_20_n_5000_k_9,0.97499
girafe_d_20_n_250_k_2,0.974931
girafe_d_40_n_4000_k_7,0.921372
girafe_d_50_n_5000_k_0,0.949832
girafe_d_50_n_2000_k_7,0.949393
girafe_d_40_n_3000_k_5,0.921147
girafe_d_40_n_1000_k_1,0.926728
girafe_d_50_n_5000_k_9,0.949907
girafe_d_50_n_4000_k_3,0.949778
girafe_d_40_n_100_k_9,0.910679
girafe_d_40_n_1000_k_5,0.91807
girafe_d_40_n_1000_k_9,0.917009
girafe_d_50_n_50_k_2,0.917307
girafe_d_20_n_1000_k_3,0.977078
girafe_d_30_n_2000_k_9,0.983444
girafe_d_20_n_1000_k_6,0.972115
girafe_d_30_n_3000_k_6,0.984126
girafe_d_30_n_500_k_0,0.981008
girafe_d_40_n_1000_k_2,0.922006
girafe_d_50_n_2000_k_4,0.949551
girafe_d_40_n_1500_k_5,0.922423
girafe_d_30_n_500_k_6,0.984697
girafe_d_40_n_1500_k_2,0.929897
girafe_d_50_n_1000_k_5,0.948988
girafe_d_40_n_500_k_6,0.913402
girafe_d_30_n_2000_k_0,0.984237
girafe_d_30_n_50_k_0,0.966941
girafe_d_40_n_4000_k_8,0.923459
girafe_d_20_n_5000_k_8,0.975062
girafe_d_50_n_1000_k_2,0.948354
girafe_d_30_n_100_k_2,0.977746
girafe_d_50_n_250_k_8,0.953429
girafe_d_30_n_5000_k_1,0.984401
girafe_d_40_n_50_k_2,0.932325
girafe_d_20_n_4000_k_7,0.974814
girafe_d_20_n_100_k_1,0.971002
girafe_d_40_n_5000_k_7,0.921516
girafe_d_50_n_4000_k_9,0.949805
girafe_d_40_n_3000_k_1,0.921353
girafe_d_30_n_5000_k_0,0.9844
girafe_d_50_n_50_k_8,0.964252
girafe_d_30_n_3000_k_7,0.983977
girafe_d_40_n_50_k_0,0.910907
girafe_d_50_n_1000_k_4,0.950844
girafe_d_30_n_1500_k_1,0.983858
girafe_d_50_n_4000_k_5,0.949825
girafe_d_40_n_2000_k_3,0.923679
girafe_d_50_n_5000_k_7,0.949846
girafe_d_20_n_50_k_8,0.965867
girafe_d_50_n_3000_k_4,0.94988
girafe_d_30_n_500_k_2,0.977392
girafe_d_50_n_3000_k_8,0.949995
girafe_d_50_n_2000_k_2,0.948338
girafe_d_20_n_250_k_0,0.97155
